"Scenario","Difficulty","Hawthorne","Quality1","Quality2","Method","statistic","true_value","coverage_rate","mean_ci_width","nominal_coverage"
"s43","VeryDifficult",0.2,"C","C","examiner","inc_rate",0.755660997533986,0.745,0.0744041748183735,0.95
"s43","VeryDifficult",0.2,"C","C","row","err_rate",0.260741679656101,0.555,0.0645763965754065,0.95
"s43","VeryDifficult",0.2,"C","C","row","inc_rate",0.758564980434786,0.37,0.0305327042235711,0.95
"s44","VeryDifficult",0.2,"C","D","cset","err_rate",0.263479422716814,0.845,0.126413240009162,0.95
"s44","VeryDifficult",0.2,"C","D","cset","inc_rate",0.784498998584661,0.835,0.0943701338540315,0.95
"s44","VeryDifficult",0.2,"C","D","examiner","err_rate",0.263414815586286,0.82,0.115097353227492,0.95
"s44","VeryDifficult",0.2,"C","D","examiner","inc_rate",0.784546856769844,0.71,0.0683155108883053,0.95
"s44","VeryDifficult",0.2,"C","D","row","err_rate",0.261118466527453,0.575,0.0688050041733631,0.95
"s44","VeryDifficult",0.2,"C","D","row","inc_rate",0.782222171516052,0.36,0.0293636284258429,0.95
"s45","VeryDifficult",0.5,"A","A","cset","err_rate",0.138065846904479,0.785,0.0565451868077843,0.95
"s45","VeryDifficult",0.5,"A","A","cset","inc_rate",0.619444808649299,0.775,0.0980732975793924,0.95
"s45","VeryDifficult",0.5,"A","A","examiner","err_rate",0.138297935310437,0.905,0.0754808490692452,0.95
"s45","VeryDifficult",0.5,"A","A","examiner","inc_rate",0.620234500633666,0.795,0.0990166262197107,0.95
